id_order,lat,long,order_dttm,flag_trip
ORD000001,55.91119105980225,37.64192229044492,2025-03-01 07:08:47,1
ORD000002,55.70695806806102,37.61565593308666,2025-03-01 06:45:41,1
ORD000003,55.920045978449096,37.86055384901766,2025-03-01 10:06:05,1
ORD000004,55.89873122785889,37.69447972162031,2025-03-01 20:39:56,1
ORD000005,55.608433429905126,37.75546664297735,2025-03-01 11:10:23,1
ORD000006,55.762449015859296,37.82116076045846,2025-03-01 08:59:40,1
ORD000007,55.74047148788673,37.75424339209747,2025-03-01 18:56:45,1
ORD000009,55.56194804518212,37.84573103911752,2025-03-01 04:05:48,1
ORD000011,55.71049012438754,37.37378213949614,2025-03-01 17:48:17,1
ORD000012,55.65805194960724,37.612578485814105,2025-03-01 20:19:53,1
ORD000013,55.655717136449184,37.624477443998295,2025-03-01 11:56:53,1
ORD000015,55.997532730242106,37.60993031091231,2025-03-01 14:57:33,1
ORD000016,55.806561759976645,37.55565257333795,2025-03-01 07:17:42,1
ORD000017,55.638578187898766,37.76980656252168,2025-03-01 23:03:43,1
ORD000019,55.49495943043958,37.71468386262601,2025-03-01 17:06:03,1
ORD000020,55.79870159389024,37.802375875173205,2025-03-01 01:00:24,1
ORD000021,55.67038474353133,37.89994478910749,2025-03-01 18:47:34,1
ORD000022,55.765442909871766,37.72072538152913,2025-03-01 18:15:37,1
ORD000027,55.954672846285874,37.45217249602672,2025-03-01 04:38:13,1
ORD000030,55.49289913575851,37.53986171895749,2025-03-01 18:35:09,1
ORD000031,55.66685275421551,37.46264081151555,2025-03-01 17:56:55,1
ORD000038,55.64339217011223,37.34899390499711,2025-03-01 23:42:12,1
ORD000040,55.582367461510565,37.53687662167415,2025-03-01 00:13:27,1
ORD000042,55.7958712180178,37.5093363297739,2025-03-01 01:30:39,1
ORD000046,55.50838054929718,37.69757157777794,2025-03-01 20:17:49,1
ORD000047,55.66228620279608,37.81697190528255,2025-03-01 04:24:44,1
ORD000050,55.75233947585156,37.395624713491415,2025-03-01 19:57:14,1
ORD000051,55.973444841786986,37.59080755765421,2025-03-01 12:37:36,1
ORD000054,55.92803078010225,37.79219383751626,2025-03-01 18:13:29,1
ORD000056,55.88046978214631,37.56926745522205,2025-03-01 18:44:53,1
ORD000057,55.59135823876558,37.69673730875191,2025-03-01 16:41:21,1
ORD000058,55.519639028660265,37.71863890159795,2025-03-01 20:17:39,1
ORD000059,55.7987014269286,37.54010460899444,2025-03-01 14:15:48,1
ORD000061,55.56980235674504,37.74127877135207,2025-03-01 07:44:30,1
ORD000063,55.63354016060726,37.83709416841304,2025-03-01 08:19:16,1
ORD000066,55.9807673061466,37.53485013569038,2025-03-01 15:06:55,1
ORD000068,55.57500664467487,37.54823897917632,2025-03-01 19:50:39,1
ORD000069,55.791924466302056,37.750293573197645,2025-03-01 21:05:10,1
ORD000070,55.78509176793322,37.8678354606048,2025-03-01 22:55:29,1
ORD000071,55.774051629551295,37.73165000706385,2025-03-01 08:52:09,1
ORD000072,55.66148413914899,37.38474774772162,2025-03-01 08:32:34,1
ORD000075,55.95382828288072,37.61349894537696,2025-03-01 15:05:30,1
ORD000076,56.01050767057031,37.52594932578758,2025-03-01 17:02:29,1
ORD000077,55.9594013398195,37.68945289145398,2025-03-01 19:48:31,1
ORD000078,55.98656658107706,37.577990521557965,2025-03-01 07:45:10,1
ORD000079,55.50185595032325,37.619892098191535,2025-03-01 16:45:17,1
ORD000083,55.901334899608685,37.599633875047054,2025-03-01 12:14:54,1
ORD000085,55.55085207729877,37.74740253017888,2025-03-01 04:50:16,1
ORD000088,55.70636845998104,37.79419607381492,2025-03-01 04:26:36,1
ORD000091,55.59693054938233,37.66147519676116,2025-03-01 12:54:30,1
ORD000093,55.74749636187288,37.34364592901906,2025-03-01 09:49:51,1
ORD000094,56.01408010632844,37.682617151161736,2025-03-01 01:46:08,1
ORD000096,55.75202579854131,37.44274305156907,2025-03-01 03:04:09,1
ORD000097,55.9747134748456,37.63649370405212,2025-03-01 14:23:43,1
ORD000098,55.54284751330009,37.41846222528521,2025-03-01 10:58:39,1
ORD000099,55.81133816421613,37.63356664857079,2025-03-01 15:07:06,1
ORD000102,55.79662537692425,37.53615878517935,2025-03-01 06:41:40,1
ORD000105,55.588279467657,37.82441279377274,2025-03-01 18:20:01,1
ORD000107,55.72291299178589,37.57580298508741,2025-03-01 15:54:25,1
ORD000108,55.71843565006848,37.85305582822337,2025-03-01 17:45:20,1
ORD000111,55.68042042747357,37.694942197723776,2025-03-01 01:35:35,1
ORD000112,55.61984681428228,37.800410343640905,2025-03-01 06:09:42,1
ORD000113,56.0237374110969,37.57408008452866,2025-03-01 19:43:41,1
ORD000116,55.84374136606505,37.53812609368601,2025-03-01 19:03:43,1
ORD000117,55.90431180274608,37.74628244628988,2025-03-01 09:43:43,1
ORD000118,56.003239957249896,37.52878488821708,2025-03-01 08:18:20,1
ORD000120,55.58354164063152,37.69930681211431,2025-03-01 20:26:18,1
ORD000123,55.71734294598765,37.34855024812304,2025-03-01 04:09:16,1
ORD000124,55.54549986588813,37.52827201751072,2025-03-01 21:59:56,1
ORD000125,55.52195129689181,37.6635541334035,2025-03-01 08:37:03,1
ORD000127,55.915445448652974,37.49486894163256,2025-03-01 18:41:12,1
ORD000128,55.825623168628745,37.74929113699975,2025-03-01 14:28:33,1
ORD000130,55.968837499743486,37.737050211872834,2025-03-01 11:19:41,1
ORD000131,55.85075547058869,37.39081835702467,2025-03-01 23:43:58,1
ORD000132,55.953792008221626,37.54974596563556,2025-03-01 07:08:09,1
ORD000133,55.92402053729318,37.45199820712646,2025-03-01 19:24:09,1
ORD000134,55.6905395298529,37.48646120924435,2025-03-01 14:39:18,1
ORD000135,55.958667676388565,37.59740266509317,2025-03-01 09:49:24,1
ORD000138,55.7844089987106,37.50975704073206,2025-03-01 09:58:53,1
ORD000139,55.7806393924851,37.73061271017742,2025-03-01 23:38:33,1
ORD000140,55.86569535317585,37.435895365682846,2025-03-01 17:01:40,1
ORD000143,55.56023742702971,37.39358404598045,2025-03-01 08:47:01,1
ORD000144,55.651170314783904,37.75702072934162,2025-03-01 20:11:53,1
ORD000145,55.83571499727373,37.87188480394822,2025-03-01 01:19:32,1
ORD000146,55.58075274821848,37.69051488483729,2025-03-01 14:57:24,1
ORD000147,55.960602802503374,37.728099860024656,2025-03-01 05:20:06,1
ORD000150,55.66909560626502,37.438644179071446,2025-03-01 04:49:41,1
ORD000154,55.711870533468776,37.67986771546676,2025-03-01 17:18:57,1
ORD000155,56.02163011827202,37.59239500362406,2025-03-01 07:50:31,1
ORD000159,55.96024511166062,37.54727859095637,2025-03-01 09:54:05,1
ORD000160,55.60979674478639,37.43856609290478,2025-03-01 18:09:10,1
ORD000161,56.00557710034949,37.533613601269366,2025-03-01 08:41:13,1
ORD000162,55.48823046015023,37.64608324554311,2025-03-01 21:25:19,1
ORD000164,55.7702155739143,37.40249682661534,2025-03-01 03:29:07,1
ORD000165,55.86838045586325,37.35016093672009,2025-03-01 23:20:12,1
ORD000166,55.46101189869671,37.60721178510715,2025-03-01 06:37:22,1
ORD000167,55.86870688785128,37.455944696656665,2025-03-01 08:46:23,1
ORD000169,55.58624808447627,37.55282735827189,2025-03-01 04:32:25,1
ORD000171,55.8591809405557,37.4243674578547,2025-03-01 22:36:19,1
ORD000173,55.53071212985839,37.49787864168508,2025-03-01 18:30:10,1
ORD000174,55.78762708473992,37.64359448140871,2025-03-01 10:26:09,1
ORD000176,55.63029582909667,37.36762501247258,2025-03-01 21:41:51,1
ORD000180,55.64223548862374,37.78136386507609,2025-03-01 08:47:30,1
ORD000181,55.629524357589474,37.54064697924586,2025-03-01 21:57:33,1
ORD000187,55.626719395616014,37.64359112809501,2025-03-01 03:46:29,1
ORD000188,55.93156237275744,37.39404804170348,2025-03-01 13:32:20,1
ORD000189,55.779461838366686,37.87668044657499,2025-03-01 10:19:37,1
ORD000191,55.77693406953611,37.72488504311732,2025-03-01 04:38:23,1
ORD000192,55.53639830804474,37.46654768774157,2025-03-01 16:28:33,1
ORD000193,55.85693666177753,37.75623150485507,2025-03-01 16:28:07,1
ORD000194,55.5615850296814,37.73146020306145,2025-03-01 17:29:43,1
ORD000197,55.50824402781019,37.67590459354127,2025-03-01 13:34:24,1
ORD000198,55.537966536198425,37.425440687526255,2025-03-01 00:04:06,1
ORD000199,55.50332251685274,37.55288079253141,2025-03-01 01:18:14,1
